descripcion,icono,tipo,estado,autonomia,lng,causa,hora,precision,pkFinal,provincia,fechaFin,horaFin,fecha,pkIni,sentido,alias,carretera,poblacion,suceso,codEle,nivel,lat,circulacion
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">V-31 </span> </b> en el <b> km 2.511</b> en <b>SILLA (VALENCIA/VALÈNCIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_OHX_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.4260731,,12:41,1,2.511,VALENCIA/VALÈNCIA,?,?,31/10/2024,2.511,CRECIENTE DE LA KILOMETRACIÓN,OTROS / V-31 (2.511 - 2.511),V-31,SILLA,OTROS,16993221,NO APLICA,39.364155,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 322.201</b> en <b>GODELLA (VALENCIA/VALÈNCIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_OHX_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.4389363,,08:14,1,322.201,VALENCIA/VALÈNCIA,?,?,31/10/2024,322.201,CRECIENTE DE LA KILOMETRACIÓN,OTROS / A-7 (322.201 - 322.201),A-7,GODELLA,OTROS,16982993,NO APLICA,39.552097,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-3 </span> </b> en el <b> km 331.024</b> en <b>CHESTE (VALENCIA/VALÈNCIA)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_OHX_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.653397,,07:26,1,331.024,VALENCIA/VALÈNCIA,?,?,31/10/2024,331.024,DECRECIENTE DE LA KILOMETRACIÓN,OTROS / A-3 (331.024 - 331.024),A-3,CHESTE,OTROS,16981717,NO APLICA,39.472668,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-332 </span> </b> en el <b> km 81.012</b> en <b>SANTA POLA (ALICANTE/ALACANT)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_OHX_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.6274523,,04:44,1,81.012,ALICANTE/ALACANT,?,?,31/10/2024,81.012,DECRECIENTE DE LA KILOMETRACIÓN,OTROS / N-332 (81.012 - 81.012),N-332,SANTA POLA,OTROS,16980460,NO APLICA,38.169403,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 549.988</b> en <b>TORREMENDO (ALICANTE/ALACANT)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_OHX_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-1.0010214,,19:00,1,549.988,ALICANTE/ALACANT,?,?,31/10/2024,549.988,CRECIENTE DE LA KILOMETRACIÓN,OTROS / A-7 (549.988 - 549.988),A-7,TORREMENDO,OTROS,17003188,NO APLICA,38.116894,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> por <b>AVERÍA</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">V-31 </span> </b> en el <b> km 8.894</b> en <b>MASSANASSA (VALENCIA/VALÈNCIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_MPA_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.383674,AVERÍA,14:42,1,8.894,VALENCIA/VALÈNCIA,?,?,31/10/2024,8.894,CRECIENTE DE LA KILOMETRACIÓN,OTROS / V-31 (8.894 - 8.894),V-31,MASSANASSA,OTROS,16996612,NO APLICA,39.405247,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> por <b>ACCIDENTE</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-332 </span> </b> en el <b> km 80.985</b> en <b>SANTA POLA (ALICANTE/ALACANT)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_VAC_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.6278225,ACCIDENTE,04:48,1,80.985,ALICANTE/ALACANT,?,?,31/10/2024,80.985,DECRECIENTE DE LA KILOMETRACIÓN,OTROS / N-332 (80.985 - 80.985),N-332,SANTA POLA,OTROS,16980554,NO APLICA,38.169136,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>DESVÍO OPERATIVO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> a la altura de <b>CASTALLA (ALICANTE/ALACANT)</b> desde el <b> km 470.3</b> al <b> km 469.5</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b> hacia <b>VALÈNCIA</b></span>",MED_REG_DO_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.6475735,,16:33,1,469.5,ALICANTE/ALACANT,?,?,30/10/2024,470.3,DECRECIENTE DE LA KILOMETRACIÓN,OTROS / A-7 (470.3 - 469.5),A-7,CASTALLA,OTROS,16970524,NO APLICA,38.586884,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OTROS</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">V-31 </span> </b> desde el <b> km 12 </b> en <b>HORNO DE ALCEDO (VALENCIA/VALÈNCIA)</b> al <b> km 5</b> en <b>SILLA (VALENCIA/VALÈNCIA)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b> hacia <b>VALÈNCIA</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>ABIERTO CARRIL EN SENTIDO CONTRARIO</b></span>",MED_REG_OTG_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.3703395,,16:49,1,5,VALENCIA/VALÈNCIA,?,?,31/10/2024,12,DECRECIENTE DE LA KILOMETRACIÓN,OTROS / V-31 (12.0 - 5.0),V-31,HORNO DE ALCEDO,OTROS,16999606,NO APLICA,39.431435,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 371.22</b> en <b>COMES (LES) (VALENCIA/VALÈNCIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_VST_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.4978809,,09:47,1,371.22,VALENCIA/VALÈNCIA,?,?,31/10/2024,371.22,CRECIENTE DE LA KILOMETRACIÓN,OTROS / A-7 (371.22 - 371.22),A-7,COMES (LES),OTROS,16986950,NO APLICA,39.211464,Obstáculos
